Treatment,CouponID,ProbeDepth,PercentageAtDepth
SulfideOnly,4,5.10482,2.13407
SulfideOnly,4,5.44514,1.78505
SulfideOnly,4,5.78546,1.49325
SulfideOnly,4,6.12578,1.26529
SulfideOnly,4,6.4661,1.08969
SulfideOnly,4,6.80643,0.933558
SulfideOnly,4,7.14675,0.793568
SulfideOnly,4,7.48707,0.658977
SulfideOnly,4,7.82739,0.531574
SulfideOnly,4,8.16771,0.466026
SulfideOnly,4,8.50803,0.402353
SulfideOnly,4,8.84835,0.358029
SulfideOnly,4,9.18868,0.319473
SulfideOnly,4,9.529,0.273217
SulfideOnly,4,9.86932,0.218153
SulfideOnly,4,10.2096,0.164467
SulfideOnly,4,10.55,0.128113
SulfideOnly,4,10.8903,0.103366
SulfideOnly,4,11.2306,0.0881079
SulfideOnly,4,11.5709,0.0719411
SulfideOnly,4,11.9112,0.0636303
SulfideOnly,4,12.2516,0.0542968
SulfideOnly,4,12.5919,0.0480033
SulfideOnly,4,12.9322,0.0391812
SulfideOnly,4,13.2725,0.0356864
SulfideOnly,4,13.6129,0.033044
SulfideOnly,5,0,0
SulfideOnly,5,0.647222,0.0536538
SulfideOnly,5,1.29444,0.919693
SulfideOnly,5,1.94167,5.30481
SulfideOnly,5,2.58889,11.6966
SulfideOnly,5,3.23611,11.6481
SulfideOnly,5,3.88333,8.51896
SulfideOnly,5,4.53056,6.21895
SulfideOnly,5,5.17778,4.83603
SulfideOnly,5,5.825,3.97089
SulfideOnly,5,6.47222,3.35373
SulfideOnly,5,7.11945,2.9339
SulfideOnly,5,7.76667,2.69505
SulfideOnly,5,8.41389,2.46276
SulfideOnly,5,9.06111,2.33179
SulfideOnly,5,9.70834,2.2503
SulfideOnly,5,10.3556,2.12609
SulfideOnly,5,11.0028,2.03503
SulfideOnly,5,11.65,1.9684
SulfideOnly,5,12.2972,1.88772
SulfideOnly,5,12.9444,1.85893
SulfideOnly,5,13.5917,1.77716
SulfideOnly,5,14.2389,1.74305
SulfideOnly,5,14.8861,1.70737
SulfideOnly,5,15.5333,1.65696
SulfideOnly,5,16.1806,1.63069
SulfideOnly,5,16.8278,1.58362
SulfideOnly,5,17.475,1.50526
SulfideOnly,5,18.1222,1.35306
SulfideOnly,5,18.7695,1.20557
SulfideOnly,5,19.4167,1.06984
SulfideOnly,5,20.0639,0.964722
SulfideOnly,5,20.7111,0.852605
SulfideOnly,5,21.3583,0.747288
SulfideOnly,5,22.0056,0.647913
SulfideOnly,5,22.6528,0.582175
SulfideOnly,5,23.3,0.505804
SulfideOnly,5,23.9472,0.406766
SulfideOnly,5,24.5945,0.35421
SulfideOnly,5,25.2417,0.323746
SulfideOnly,5,25.8889,0.305096
SulfideOnly,6,0,0
SulfideOnly,6,0.767282,0.128535
SulfideOnly,6,1.53456,0.823765
SulfideOnly,6,2.30185,2.58196
SulfideOnly,6,3.06913,5.03693
SulfideOnly,6,3.83641,6.08386
SulfideOnly,6,4.60369,5.35403
SulfideOnly,6,5.37098,4.66487
SulfideOnly,6,6.13826,4.43973
SulfideOnly,6,6.90554,4.12005
SulfideOnly,6,7.67282,3.80075
SulfideOnly,6,8.44011,3.59765
SulfideOnly,6,9.20739,3.66581
SulfideOnly,6,9.97467,4.73981
SulfideOnly,6,10.742,7.27911
SulfideOnly,6,11.5092,9.86224
SulfideOnly,6,12.2765,10.8118
SulfideOnly,6,13.0438,8.59768
SulfideOnly,6,13.8111,4.64999
SulfideOnly,6,14.5784,2.17703
SulfideOnly,6,15.3456,1.22391
SulfideOnly,6,16.1129,0.855225
